Sezione1
0	3.61	0.52
60	3.83	0.52
120	4.13	0.52
180	4.43	0.52
240	4.71	0.52
300	4.97	0.52
360	5.23	0.52
420	5.65	0.52
480	6.06	0.52
540	6.44	0.52
600	6.82	0.52
660	7.17	0.52
720	8.03	0.52
780	8.84	0.52
840	9.62	0.52
900	10.36	0.52
960	11.57	0.52
1020	16.16	0.52
1080	20.31	0.52
1140	24.06	0.52
1200	27.45	0.52
1260	30.52	0.52
1320	29.49	0.52
1380	28.58	0.52
1440	27.74	0.52
1500	26.99	0.52
1560	26.31	0.52
1620	25.24	0.52
1680	24.26	0.52
1740	23.39	0.52
1800	22.59	0.52
1860	21.87	0.52
1920	21.00	0.52
1980	20.21	0.52
2040	19.49	0.52
2100	18.85	0.52
2160	18.26	0.52
2220	17.59	0.52
2280	16.99	0.52
2340	16.44	0.52
2400	15.94	0.52
2460	15.50	0.52
2520	14.99	0.52
2580	14.54	0.52
2640	14.12	0.52
2700	13.75	0.52
2760	13.42	0.52
2820	12.13	0.52
2880	10.96	0.52
2940	9.91	0.52
3000	8.96	0.52
3060	8.10	0.52
3120	7.32	0.52
3180	6.62	0.52
3240	5.98	0.52
3300	5.41	0.52
3360	4.89	0.52
3420	4.42	0.52
3480	3.99	0.52
3540	3.61	0.52
Sezione2
480	1.45	0.05
540	1.54	0.05
600	1.63	0.05
660	1.72	0.05
720	1.92	0.05
780	2.11	0.05
840	2.30	0.05
900	2.47	0.05
960	2.81	0.05
1020	3.87	0.05
1080	4.82	0.05
1140	5.68	0.05
1200	6.46	0.05
1260	7.17	0.05
1320	6.93	0.05
1380	6.72	0.05
1440	6.53	0.05
1500	6.36	0.05
1560	6.20	0.05
1620	5.95	0.05
1680	5.72	0.05
1740	5.52	0.05
1800	5.33	0.05
1860	5.17	0.05
1920	4.96	0.05
1980	4.78	0.05
2040	4.61	0.05
2100	4.46	0.05
2160	4.33	0.05
2220	4.17	0.05
2280	4.03	0.05
2340	3.90	0.05
2400	3.78	0.05
2460	3.68	0.05
2520	3.56	0.05
2580	3.45	0.05
2640	3.36	0.05
2700	3.27	0.05
2760	3.19	0.05
2820	2.89	0.05
2880	2.61	0.05
2940	2.36	0.05
3000	2.13	0.05
3060	1.93	0.05
3120	1.74	0.05
3180	1.58	0.05
3240	1.42	0.05

END
